questionId,questionCreationDate,code
17103286,6/14/2013 7:29,Specifications
32292996,8/30/2015 3:53,Specifications
42355760,2/20/2017 23:02,Specifications
62630556,6/29/2020 2:58,Specifications
74116961,10/18/2022 20:14,Specifications
69371534,44468.27847,Specifications
78227765,45377.81597,Specifications
35468253,42417.89931,Specifications
1967978,40175.19097,Specifications
39838761,42646.79861,Specifications
16664330,5/21/2013 7:22,Actuator
76226178,5/11/2023 9:35,Actuator
48801772,43146.30347,Actuator
72675794,44731.40486,Actuator
37649397,6/6/2016 4:05,Error
55608358,4/10/2019 8:47,Error
76017501,4/14/2023 17:10,Error
76714440,7/18/2023 15:34,Error
75203121,44948.79722,Error
54373318,43490.91389,Error
32419077,9/6/2015 1:07,Other
64386937,10/16/2020 9:56,Other
3713385,40435.93681,Other
4557970,40541.89028,Other
3069144,6/18/2010 11:19,Incoming
5207515,3/5/2011 23:30,Incoming
14818109,2/11/2013 18:04,Incoming
16250256,4/27/2013 9:04,Incoming
34290860,12/15/2015 13:45,Incoming
51205858,7/6/2018 8:14,Incoming
52974661,10/24/2018 17:17,Incoming
62046666,5/27/2020 15:19,Incoming
67072289,4/13/2021 9:35,Incoming
70197279,12/2/2021 9:52,Incoming
73277615,8/8/2022 12:07,Incoming
75940959,4/5/2023 14:55,Incoming
75962469,4/7/2023 22:59,Incoming
77928392,2/2/2024 16:10,Incoming
41657165,42750.09653,Incoming
13482797,41233.90903,Incoming
17126898,41440.78611,Incoming
32057612,42233.78542,Incoming
34964928,42392.62153,Incoming
41827191,42759.48125,Incoming
73792169,44824.84306,Incoming
75773727,45003.14861,Incoming
77678698,45278.46806,Incoming
75160864,44944.60764,Incoming
76231952,45057.92917,Incoming
78231595,45378.50903,Incoming
74726722,12/8/2022 7:17,Coordinates
29399433,4/1/2015 19:43,Remote
49205761,3/10/2018 5:40,Remote
3687113,40431.75486,Remote
76351277,45074.48194,Remote
49842838,43205.5875,Other
77923548,45323.90417,Other
71697482,3/31/2022 18:27,Other
3185471,40365.44375,Other
8091124,40858.32986,Other
9262830,2/13/2012 15:12,Other
51480521,7/23/2018 13:53,Other
22228890,41704.64653,Other
53307599,43418.81667,Other
57675404,8/27/2019 13:07,Programming
64563152,10/27/2020 21:28,Programming
78038352,45344.16806,Programming
43429195,42840.73333,Programming
64552488,44131.43611,Programming
72596431,44724.95347,Programming
4063416,10/31/2010 14:11,Other
5765591,4/23/2011 16:58,Other
56360142,5/29/2019 12:00,Other
33271330,42299.00625,Other
1322019,40049.51181,Other
50158870,43223.64792,Other
10420966,5/2/2012 20:14,Actuator
24095107,6/7/2014 7:57,Actuator
47102736,11/3/2017 18:57,Actuator
48455762,1/26/2018 4:21,Actuator
55429137,3/30/2019 7:17,Actuator
74063852,10/14/2022 2:58,Actuator
75700380,3/10/2023 19:41,Actuator
76058435,4/19/2023 20:08,Actuator
41599283,42746.81528,Actuator
77869639,45314.94236,Actuator
3068658,40347.4125,Actuator
41411217,42735.81597,Actuator
76121679,45043.61111,Actuator
1252428,40034.91944,Specifications
3146232,6/30/2010 3:16,Specifications
9614729,3/8/2012 8:28,Specifications
11581346,7/20/2012 14:26,Specifications
15548139,3/21/2013 12:52,Specifications
58681419,11/3/2019 15:02,Specifications
764202,39921.87847,Specifications
2734897,40297.21389,Specifications
11804800,41125.00625,Specifications
14935473,41323.48681,Specifications
42251735,42781.59167,Specifications
55360519,43550.63403,Specifications
60412326,43887.45486,Specifications
2625390,4/12/2010 20:56,Actuator
53493976,11/27/2018 6:30,Actuator
77276377,10/11/2023 21:01,Actuator
77649089,12/12/2023 21:21,Actuator
11058724,41075.91597,Actuator
70643681,44570.71667,Actuator
32978569,42283.83056,Actuator
42030132,42769.74167,Actuator
69587803,44484.68194,Actuator
38647114,7/28/2016 21:34,Other
39719830,42640.35486,Other
53683579,43442.60972,Other
6140332,5/26/2011 14:34,Connections
45996174,9/1/2017 8:32,Connections
58836477,11/13/2019 11:49,Connections
52939173,43395.99236,Connections
49725812,43199.20625,Connections
35598327,42424.4,Connections
32013704,42230.64861,Connections
12042285,8/20/2012 17:33,Error
29615931,4/13/2015 22:09,Error
29952691,4/29/2015 19:20,Error
31547941,7/21/2015 19:28,Error
36340961,3/31/2016 18:26,Error
48189649,1/10/2018 14:30,Error
55038180,3/7/2019 7:24,Error
58744003,11/7/2019 7:38,Error
58904495,11/17/2019 19:44,Error
59476046,12/25/2019 7:08,Error
60883932,3/27/2020 10:14,Error
66340344,2/23/2021 20:07,Error
68386445,7/15/2021 0:21,Error
71928676,4/19/2022 17:03,Error
73980976,10/6/2022 23:39,Error
75532778,2/22/2023 12:37,Error
76087052,4/23/2023 20:12,Error
76756325,7/24/2023 16:17,Error
77829740,1/17/2024 2:56,Error
41556912,42744.87847,Error
32465462,42255.79861,Error
41604310,42747.11597,Error
43857864,42863.91319,Error
48109985,43105.36181,Error
55081981,43533.88194,Error
62553569,44006.46042,Error
66732022,44276.49931,Error
71033078,44600.475,Error
77153709,45190.88889,Error
78127251,45359.4625,Error
69101225,9/8/2021 10:17,Incoming
71757025,4/5/2022 18:53,Incoming
54242283,43482.77708,Incoming
1590073,40105.73681,Incoming
8348698,40878.90486,Incoming
8463489,40888.46667,Incoming
22680580,41725.29792,Incoming
33186486,42294.50764,Incoming
45624243,42957.92847,Incoming
69570518,44483.50972,Incoming
69841218,44504.62083,Incoming
48227848,1/12/2018 14:03,Programming
66120048,44236.56597,Programming
3372168,40389.58264,Specifications
1050911,6/26/2009 19:48,Specifications
7017136,8/10/2011 20:12,Specifications
7045073,8/12/2011 19:02,Specifications
8799363,1/10/2012 6:22,Specifications
12462461,9/17/2012 15:27,Specifications
17724865,7/18/2013 13:30,Specifications
59229077,12/7/2019 18:32,Specifications
4973854,40585.86458,Specifications
26814872,41951.30972,Specifications
28526200,42050.53403,Specifications
8897938,1/17/2012 16:13,Moving
33680363,11/12/2015 20:05,Moving
49209624,3/10/2018 13:29,Moving
49581278,3/30/2018 20:51,Moving
54652810,43508.62014,Moving
58056874,43731.27778,Moving
68632492,44411.34028,Moving
75961498,45023.82153,Moving
75279981,44956.13819,Moving
14002701,12/22/2012 12:08,Actuator
18718014,9/10/2013 11:40,Actuator
22755882,3/31/2014 7:33,Actuator
28994556,3/11/2015 18:26,Actuator
31898387,8/8/2015 20:44,Actuator
37311326,5/18/2016 22:51,Actuator
43175819,4/3/2017 2:48,Actuator
50849484,6/14/2018 4:10,Actuator
57038494,7/15/2019 11:09,Actuator
61055315,4/6/2020 7:58,Actuator
65649719,1/10/2021 2:49,Actuator
68225798,7/2/2021 13:09,Actuator
69425729,10/3/2021 14:22,Actuator
76698876,7/16/2023 14:51,Actuator
76714383,7/18/2023 15:28,Actuator
77147437,9/21/2023 5:40,Actuator
77601467,12/4/2023 17:35,Actuator
77738665,12/31/2023 8:56,Actuator
78120537,45358.43403,Actuator
73519254,44801.57708,Actuator
32941468,42282.20208,Actuator
20433016,41614.85347,Actuator
16394748,41400.34861,Actuator
25181253,41858.47431,Actuator
28865322,42067.89375,Actuator
35330232,42411.14167,Actuator
37007417,42493.61736,Actuator
36738868,42480.37847,Actuator
38101097,42550.5625,Actuator
46748212,43022.7875,Actuator
43693218,42854.32917,Actuator
43580279,42849.22014,Actuator
51161843,43284.81944,Actuator
58584411,43765.99861,Actuator
63019490,44033.71042,Actuator
61838032,43967.58542,Actuator
65387147,44186.13472,Actuator
60465046,43890.51042,Actuator
73821190,44826.92778,Actuator
76765373,45132.74583,Actuator
77570751,45259.47778,Actuator
77800615,45302.58333,Actuator
742369,4/12/2009 20:29,Moving
9058716,1/30/2012 2:35,Moving
11794299,8/3/2012 10:53,Moving
12994888,10/21/2012 4:06,Moving
14219623,1/8/2013 16:30,Moving
15250748,3/6/2013 15:01,Moving
21249131,1/21/2014 4:22,Moving
23207910,4/21/2014 23:48,Moving
26935863,11/14/2014 17:44,Moving
28534527,2/16/2015 4:27,Moving
28951574,3/9/2015 20:55,Moving
36625422,4/14/2016 13:59,Moving
36758570,4/21/2016 2:33,Moving
43414357,4/14/2017 15:13,Moving
46326949,9/20/2017 16:09,Moving
49348325,3/18/2018 13:20,Moving
53070070,10/30/2018 17:46,Moving
55997039,5/5/2019 22:42,Moving
56592230,6/14/2019 6:00,Moving
60086354,2/6/2020 1:11,Moving
69752391,10/28/2021 10:25,Moving
70994989,2/5/2022 3:09,Moving
75081222,1/11/2023 10:00,Moving
76482257,6/15/2023 12:01,Moving
76531265,6/22/2023 11:07,Moving
76626687,7/6/2023 7:58,Moving
77607266,12/5/2023 15:12,Moving
27432813,41984.89931,Moving
16252951,41391.58194,Moving
2199696,40213.52986,Moving
5361791,40621.47986,Moving
10050554,41006.00208,Moving
17714284,41473.16597,Moving
24998038,41848.62292,Moving
30604094,42157.78056,Moving
40419901,42678.42014,Moving
38659146,42580.52778,Moving
44098251,42876.61944,Moving
42080006,42773.04792,Moving
51346929,43296.38125,Moving
54949446,43525.72083,Moving
55965675,43588.33819,Moving
54935240,43524.93403,Moving
54147301,43476.55208,Moving
62043150,43978.51944,Moving
62662082,44012.69028,Moving
67159164,44305.38403,Moving
65888385,44221.67431,Moving
67449652,44324.67639,Moving
76247799,45060.57292,Moving
77522536,45251.48819,Moving
786997,4/24/2009 18:15,Timing
27716172,12/31/2014 4:35,Timing
28616358,2/19/2015 20:35,Timing
35733974,3/1/2016 21:33,Timing
76830384,8/3/2023 17:32,Timing
72839814,44744.60208,Timing
9310212,40955.46389,Timing
9483615,40967.59722,Timing
17942862,41485.38333,Timing
15559079,41354.91944,Timing
22547738,41719.00764,Timing
32027233,42231.72014,Timing
42674680,42802.62361,Timing
51063970,43278.55833,Timing
58997045,43791.63403,Timing
6641055,7/10/2011 12:20,Moving
35970213,3/13/2016 12:25,Moving
41645196,1/13/2017 23:50,Moving
51995191,8/23/2018 22:38,Moving
61379723,4/23/2020 5:08,Moving
75963064,4/8/2023 2:40,Moving
76354503,5/29/2023 3:23,Moving
54385059,43492.18125,Moving
6007822,40678.43542,Moving
7541489,40810.82639,Moving
13677658,41246.22847,Moving
21458336,41669.57569,Moving
26327267,41924.68194,Moving
43056359,42821.87222,Moving
49612231,43192.56042,Moving
75446976,44971.46597,Moving
75920792,45019.61806,Moving
30577463,6/1/2015 15:32,Coordinates
49668825,4/5/2018 9:28,Coordinates
54620356,2/10/2019 19:52,Coordinates
55313613,3/23/2019 12:14,Coordinates
59866125,1/22/2020 18:27,Coordinates
60682233,3/14/2020 11:29,Coordinates
63516972,8/21/2020 5:25,Coordinates
64417385,10/18/2020 19:18,Coordinates
65115603,12/2/2020 20:23,Coordinates
67731514,5/28/2021 0:42,Coordinates
68257668,7/5/2021 14:15,Coordinates
70695409,1/13/2022 10:57,Coordinates
75006535,1/4/2023 13:57,Coordinates
76194249,5/7/2023 13:34,Coordinates
60347644,43882.99306,Coordinates
2761748,40301.95417,Coordinates
33411393,42306.42639,Coordinates
18215873,41499.74236,Coordinates
29143763,42082.49097,Coordinates
32228629,42242.57917,Coordinates
44123750,42877.99792,Coordinates
45647371,42959.28194,Coordinates
53314997,43419.34375,Coordinates
55151675,43537.90694,Coordinates
61409469,43945.55903,Coordinates
66999588,44294.33056,Coordinates
65703124,44209.56875,Coordinates
74131579,44853.85694,Coordinates
76164592,45049.57153,Coordinates
77266977,45209.63194,Coordinates
7804388,40834.35208,Specifications
21999921,41694.91389,Programming
65099688,44166.94792,Programming
16419356,41401.52917,Programming
64457784,44125.26806,Programming
3636814,9/3/2010 14:39,Coordinates
44097582,5/21/2017 13:41,Coordinates
61001497,4/2/2020 21:32,Coordinates
69553909,10/13/2021 10:31,Coordinates
74667949,12/3/2022 15:11,Coordinates
14512520,41298.96319,Coordinates
10544630,41040.10069,Coordinates
15764159,41366.52083,Coordinates
23009549,41740.42083,Coordinates
26847636,41953.66111,Coordinates
43223123,42830.25694,Coordinates
45845630,42970.71319,Coordinates
46154545,42989.47431,Coordinates
48299129,43117.44514,Coordinates
48110189,43105.37222,Coordinates
57008332,43658.57569,Coordinates
66827788,44282.15208,Coordinates
76085799,45039.65486,Other
64299715,44115.04097,Other
72090152,44683.72153,Timing
71122378,44607.30069,Other
6645215,7/11/2011 2:27,Other
61363106,4/22/2020 10:40,Other
63809575,44083.42917,Other
51187676,7/5/2018 9:20,Other
73703077,9/13/2022 12:30,Other
75192356,1/21/2023 9:32,Remote
77461417,11/10/2023 16:14,Other
75451788,44971.76319,Other
1895242,12/13/2009 1:00,Connections
30382559,5/21/2015 19:20,Connections
42371935,2/21/2017 15:50,Connections
58808291,11/11/2019 20:30,Connections
60640639,3/11/2020 16:32,Connections
63952955,44092.39097,Connections
20863327,41639.89028,Connections
51089252,43279.76875,Connections
6620778,7/8/2011 6:37,Incoming
9533311,3/2/2012 12:29,Incoming
10075285,4/9/2012 15:09,Incoming
14514435,1/25/2013 2:32,Incoming
21743600,2/13/2014 1:43,Incoming
24719506,7/13/2014 4:16,Incoming
24986253,7/27/2014 22:26,Incoming
35722264,3/1/2016 11:56,Incoming
36403200,4/4/2016 12:50,Incoming
36482498,4/7/2016 16:49,Incoming
42667789,3/8/2017 9:41,Incoming
46455274,9/27/2017 18:54,Incoming
48271579,1/15/2018 22:29,Incoming
55258526,3/20/2019 10:26,Incoming
57065924,7/16/2019 21:52,Incoming
58625888,10/30/2019 12:56,Incoming
60002484,1/31/2020 10:52,Incoming
62761806,7/6/2020 17:58,Incoming
69125009,9/9/2021 21:41,Incoming
74415334,11/12/2022 18:03,Incoming
27412408,41983.95556,Incoming
21211025,41657.96181,Incoming
25002980,41848.81736,Incoming
36829189,42484.90139,Incoming
46530131,43010.70556,Incoming
72200178,44692.47431,Incoming
76039877,45033.95833,Incoming
5611290,4/10/2011 11:00,Moving
26486572,10/21/2014 12:19,Moving
40584193,11/14/2016 8:01,Moving
74133720,10/20/2022 2:12,Moving
30724864,42164.28472,Moving
47970583,43094.71458,Moving
71661263,44649.48125,Moving
13856211,41256.37222,Timing
15320030,41343.31806,Timing
14041109,12/26/2012 13:14,Incoming
21059100,1/11/2014 6:03,Incoming
29168032,3/20/2015 13:45,Incoming
36891435,4/27/2016 13:34,Incoming
48999577,2/27/2018 1:04,Incoming
58934308,11/19/2019 12:37,Incoming
74301643,11/3/2022 10:36,Incoming
75367988,2/7/2023 0:54,Incoming
77274713,10/11/2023 16:09,Incoming
65313003,44180.84167,Incoming
72335499,44703.29653,Incoming
33447171,42308.06528,Incoming
21002816,41647.73889,Incoming
35200665,42404.50694,Incoming
52668674,43378.63403,Incoming
66024645,44230.39514,Incoming
77416468,45233.49583,Incoming
6619222,40732.08819,Actuator
3621244,40422.79097,Actuator
14022469,41267.59375,Actuator
29226752,42087.29514,Actuator
5540608,4/4/2011 15:18,Remote
10460809,5/5/2012 10:06,Remote
22003790,2/25/2014 3:08,Remote
31478749,7/17/2015 14:57,Remote
32683092,9/20/2015 19:00,Remote
35374892,2/13/2016 1:13,Remote
37075632,5/6/2016 15:01,Remote
45093135,7/14/2017 1:19,Remote
47165908,11/7/2017 19:22,Remote
49614877,4/2/2018 16:23,Remote
55787126,4/21/2019 21:59,Remote
56067475,5/9/2019 20:58,Remote
61319036,4/20/2020 9:22,Remote
62019726,5/26/2020 10:12,Remote
65679789,1/12/2021 7:44,Remote
66947260,4/5/2021 1:19,Remote
67081917,4/13/2021 20:25,Remote
76481567,6/15/2023 10:26,Remote
60448037,43889.36319,Remote
69676420,44491.49375,Remote
45941162,42976.58472,Remote
1811366,40145.11111,Remote
4350199,40515.9125,Remote
4032394,40478.45069,Remote
6793028,40746.68333,Remote
6041316,40681.31458,Remote
11810812,41125.74792,Remote
11782221,41123.70417,Remote
16954054,41431.21389,Remote
18150100,41495.63611,Remote
29323850,42091.97917,Remote
31605893,42209.36111,Remote
34522095,42368.09722,Remote
38710748,42584.08889,Remote
40748032,42696.72569,Remote
43416538,42839.73889,Remote
49353430,43177.93264,Remote
52084828,43341.8125,Remote
58982694,43790.82431,Remote
54358550,43490.14236,Remote
62913510,44027.46319,Remote
65203283,44173.70208,Remote
66786292,44279.72917,Remote
66222390,44243.42292,Remote
69113962,44448.31042,Remote
73547951,44803.83958,Remote
74284444,44867.19792,Remote
70602541,44567.19306,Remote
74230826,44862.20625,Remote
72317047,44701.41806,Remote
74265400,44865.63542,Remote
77419699,45233.87778,Remote
77446977,45238.65069,Remote
78027853,45342.57431,Remote
62414292,6/16/2020 17:28,Connections
63705598,9/2/2020 12:31,Connections
74481393,11/17/2022 19:56,Connections
74683769,12/5/2022 5:34,Connections
77101051,9/13/2023 23:43,Connections
78212426,3/23/2024 20:44,Connections
63202897,44044.31736,Connections
77819704,45306.50833,Connections
